                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9039,                 5.0972,                  1.158,                0.42953,                 0.1131,                0.06763,                0.02135,                 2.4878,                 3.3604,                 1.0237,              0.0033141,              0.0033141,              0.0033141
                      2,                 2.6146,                 3.5007,                 1.0489,                0.51267,                0.05933,                0.06636,                0.02333,                 2.5937,                 3.2292,                 1.0481,              0.0066342,              0.0066342,              0.0066342
                      3,                  2.647,                 3.1703,                 1.0476,                0.20072,                0.25822,                0.12967,                0.04271,                 2.5018,                 2.6695,                 1.0279,              0.0099412,              0.0099412,              0.0099412
                      4,                 2.6147,                 2.8453,                 1.0545,                0.17674,                 0.2435,                  0.097,                0.03118,                   2.57,                 2.7426,                 1.0379,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.5574,                 2.6252,                 1.0462,                0.22803,                0.26316,                0.14875,                0.04441,                  2.504,                 2.5348,                 1.0129,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.5111,                 2.5154,                 1.0336,                 0.2174,                0.24256,                0.13846,                0.05098,                 2.4307,                 2.6889,                 1.0117,               0.009901,               0.009901,               0.009901
                      7,                 2.5071,                 2.4464,                 1.0263,                0.24245,                0.28562,                0.17268,                0.05497,                 2.4582,                 2.2747,                 1.0175,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4603,                 2.3744,                   1.02,                 0.2427,                0.31046,                0.19628,                 0.0684,                 2.3506,                 2.2134,                0.99123,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4355,                 2.3592,                 1.0302,                0.20853,                0.29928,                0.17006,                0.05769,                  2.406,                 2.4268,                0.99722,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.4393,                 2.3355,                 1.0179,                0.21491,                0.25377,                0.15111,                0.05203,                 2.3739,                 2.3357,                0.98836,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.4278,                 2.2832,                 1.0085,                0.28476,                0.26043,                 0.1896,                0.06697,                 2.3402,                 2.2596,                0.99557,               0.009802,               0.009802,               0.009802
                     12,                 2.4249,                 2.2722,                 1.0162,                0.23628,                 0.2989,                0.18767,                0.06071,                 2.3386,                 2.2355,                0.98808,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.4148,                 2.2588,                 1.0108,                0.24104,                0.36502,                0.19738,                0.06329,                 2.3056,                 2.2334,                 0.9804,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.3912,                 2.2436,                 1.0089,                0.28352,                0.27444,                0.19751,                0.06531,                 2.3857,                 2.1791,                0.98971,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.3919,                 2.2254,                  1.004,                0.30334,                0.33563,                0.23428,                0.07637,                 2.2967,                 2.1058,                0.97744,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.3946,                 2.1983,                 1.0064,                0.27402,                0.30002,                0.20197,                0.06849,                 2.3449,                 2.0815,                0.99338,               0.009703,               0.009703,               0.009703
                     17,                 2.3867,                 2.2266,                  1.003,                0.24324,                0.35342,                0.20637,                0.06751,                 2.3465,                 2.1124,                0.98472,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.3852,                 2.1713,                 1.0036,                0.23817,                0.31381,                 0.2078,                0.07407,                 2.3018,                  2.104,                0.97873,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.3671,                 2.1907,                 1.0002,                0.23208,                0.30513,                0.17708,                0.05968,                 2.3418,                 2.2657,                0.98276,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.3688,                 2.1648,                 0.9953,                0.26134,                0.31847,                0.20978,                0.07045,                 2.2703,                 2.1895,                0.97716,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.3678,                 2.1772,                 1.0021,                0.27142,                0.31945,                0.19878,                0.07103,                 2.3324,                  2.139,                0.98947,               0.009604,               0.009604,               0.009604
                     22,                 2.3582,                 2.1657,                 1.0003,                0.27939,                0.31576,                 0.2399,                 0.0807,                 2.2725,                 2.0975,                0.97417,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.3514,                 2.1612,                 1.0001,                0.28697,                 0.3226,                0.21389,                0.06979,                 2.2509,                 2.0913,                0.97145,              0.0095644,              0.0095644,              0.0095644
                     24,                  2.352,                 2.1428,                0.99665,                0.27553,                0.30379,                0.21238,                 0.0716,                 2.3503,                 2.2501,                0.99211,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.3465,                  2.118,                0.99132,                0.34954,                0.35061,                0.25825,                0.08113,                 2.3036,                 2.0368,                0.98177,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.3448,                 2.1129,                0.98837,                 0.2861,                 0.3227,                 0.2343,                 0.0807,                 2.2998,                 2.0217,                0.98322,               0.009505,               0.009505,               0.009505
                     27,                 2.3466,                 2.1127,                0.99421,                0.29857,                0.35764,                0.25423,                0.08393,                 2.2527,                 2.0358,                0.97535,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.3426,                 2.1086,                0.99654,                 0.2782,                0.33193,                0.22438,                0.07313,                 2.3175,                 2.1055,                0.98304,              0.0094654,              0.0094654,              0.0094654
                     29,                 2.3354,                 2.1151,                0.99424,                0.27605,                0.38153,                0.24409,                0.08291,                 2.2598,                 2.0794,                0.97403,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.3263,                 2.0798,                0.98587,                0.28666,                0.36541,                0.23688,                0.08036,                 2.2902,                 2.0614,                0.97751,              0.0094258,              0.0094258,              0.0094258
                     31,                 2.3319,                 2.0782,                0.99225,                0.27529,                0.35896,                0.24088,                0.08015,                 2.2602,                 2.0796,                0.98035,               0.009406,               0.009406,               0.009406
                     32,                 2.3256,                 2.0847,                0.98895,                0.29126,                 0.3315,                0.23118,                0.07871,                 2.2644,                 2.0776,                0.97409,              0.0093862,              0.0093862,              0.0093862
                     33,                 2.3209,                 2.0941,                0.98665,                0.29862,                0.35656,                0.24397,                 0.0814,                 2.2941,                 2.0269,                0.97819,              0.0093664,              0.0093664,              0.0093664
                     34,                 2.3106,                 2.0614,                0.99084,                0.30038,                0.35709,                0.25113,                0.08334,                  2.223,                 2.0658,                0.96858,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.3242,                 2.0789,                0.98875,                0.29298,                0.34937,                0.22649,                0.07587,                 2.2933,                 2.0984,                0.96974,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.3151,                 2.0545,                0.99052,                0.28038,                0.35493,                0.22778,                0.07609,                  2.268,                 2.0459,                0.96831,               0.009307,               0.009307,               0.009307
                     37,                 2.3045,                 2.0607,                0.98134,                0.30206,                0.35459,                0.26295,                0.08819,                 2.2939,                 2.0451,                 0.9798,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.3056,                 2.0629,                0.98866,                 0.2871,                0.37291,                0.23343,                0.08326,                 2.2425,                  2.039,                0.96873,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.3026,                 2.0464,                 0.9899,                0.28587,                0.36498,                0.24593,                0.08122,                 2.2849,                 1.9855,                  0.976,              0.0092476,              0.0092476,              0.0092476
